文件名,X坐标,Y坐标,Z坐标,亮度
1.sgy,536790.1097337826,3240000.3196125138,3459.6765945971856,0.7773125767707825
3.sgy,537494.6066655542,3239758.1767479503,3500.2054396498293,0.7251752018928528
